Deciles,actual,pred
0,104064.0,100330.00096783695
1,107862.5,109751.08084541411
2,113000.0,113799.01795839725
3,117711.11111111111,118982.4725342506
4,124466.66666666667,126108.52881993596
5,129362.5,131768.8671064174
6,140730.0,137017.3975859349
7,141350.0,144389.5742348135
8,161766.66666666666,157513.8089560925
9,170197.33333333334,172492.37583890717
